cset: --> last message, executed args into cpuset "/user", new pid is: 75972
L,N,embed_dim,num_heads,use_separate_proj_weight,qkv_same,kv_same,device,avg(us),std(us),num_runs,data/avg(us)
32,256,16,16,True,False,True,cuda,1145,13,1746,1831
32,256,256,1,True,False,True,cuda,1348,9,1483,1555
32,256,256,8,True,False,True,cuda,1598,11,1252,10498
32,256,256,16,True,False,True,cuda,1908,8,1048,17586
32,256,1024,1,True,False,True,cuda,10184,61,197,823
32,256,1024,8,True,False,True,cuda,10241,73,196,6552
32,256,1024,16,True,False,True,cuda,10565,71,190,12703
16,1,16,1,True,False,False,cuda,588,16,3398,0
16,1,16,8,True,False,False,cuda,610,9,3275,3
16,1,16,16,True,False,False,cuda,610,9,3278,6
16,1,256,1,True,False,False,cuda,590,9,3390,6
16,1,256,8,True,False,False,cuda,622,9,3212,52
16,1,256,16,True,False,False,cuda,622,9,3215,105
16,1,1024,1,True,False,False,cuda,593,9,3371,27
16,1,1024,8,True,False,False,cuda,627,10,3187,209
16,1,1024,16,True,False,False,cuda,627,11,3189,418
16,64,16,1,True,False,False,cuda,619,9,3229,26
16,64,16,8,True,False,False,cuda,624,9,3201,210
16,64,16,16,True,False,False,cuda,635,16,3150,412
16,64,256,1,True,False,False,cuda,642,9,3115,408
16,64,256,8,True,False,False,cuda,644,9,3102,3256
16,64,256,16,True,False,False,cuda,642,11,3113,6533
16,64,1024,1,True,False,False,cuda,1900,53,1053,551
16,64,1024,8,True,False,False,cuda,1845,23,1084,4546
16,64,1024,16,True,False,False,cuda,1889,23,1059,8881
16,256,16,1,True,False,False,cuda,622,9,3215,105
16,256,16,8,True,False,False,cuda,689,8,2900,760
16,256,16,16,True,False,False,cuda,901,9,2218,1163
16,256,256,1,True,False,False,cuda,871,8,2295,1203
16,256,256,8,True,False,False,cuda,1005,11,1990,8346
16,256,256,16,True,False,False,cuda,1186,7,1686,14146
16,256,1024,1,True,False,False,cuda,5467,19,366,767
16,256,1024,8,True,False,False,cuda,5516,89,363,6083
16,256,1024,16,True,False,False,cuda,5683,80,352,11808
32,1,16,1,True,False,False,cuda,576,9,3468,0
32,1,16,8,True,False,False,cuda,609,10,3279,6
32,1,16,16,True,False,False,cuda,608,9,3288,13
32,1,256,1,True,False,False,cuda,594,13,3364,13
32,1,256,8,True,False,False,cuda,623,11,3209,105
32,1,256,16,True,False,False,cuda,623,10,3208,210
32,1,1024,1,True,False,False,cuda,593,9,3368,55
32,1,1024,8,True,False,False,cuda,628,10,3181,417
32,1,1024,16,True,False,False,cuda,627,9,3189,836
32,64,16,1,True,False,False,cuda,622,9,3216,52
32,64,16,8,True,False,False,cuda,630,11,3171,416
32,64,16,16,True,False,False,cuda,646,9,3092,811
32,64,256,1,True,False,False,cuda,664,11,3009,789
32,64,256,8,True,False,False,cuda,676,15,2956,6204
32,64,256,16,True,False,False,cuda,744,7,2686,11275
32,64,1024,1,True,False,False,cuda,3061,61,654,685
32,64,1024,8,True,False,False,cuda,3025,4,662,5546
32,64,1024,16,True,False,False,cuda,3104,11,645,10810
32,256,16,1,True,False,False,cuda,624,11,3204,210
32,256,16,8,True,False,False,cuda,818,12,2443,1281
32,256,16,16,True,False,False,cuda,1133,10,1765,1850
32,256,256,1,True,False,False,cuda,1347,6,1484,1556
32,256,256,8,True,False,False,cuda,1598,11,1252,10498
